model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
 Focus,2013,5991,0,53080,2,30,56.5,1
 Kuga,2017,16720,1,20839,0,145,54.3,2
 Mondeo,2013,5491,0,75526,0,125,57.7,2
 Fiesta,2019,13140,0,2359,2,145,48.7,1.1
 Focus,2019,17350,0,2931,2,145,60.1,1
 C-MAX,2015,6140,0,78329,0,30,61.4,1.6
 Fiesta,2017,9160,0,29692,2,145,62.8,1
 Focus,2017,16370,0,9717,2,145,41.5,2
 Focus,2019,20391,2,6050,2,145,51.4,1
 Focus,2017,17547,0,12675,2,145,41.5,2
 Fiesta,2018,10750,0,15502,2,145,65.7,1
 Kuga,2016,15220,0,22607,0,145,54.3,2
 Fiesta,2013,5130,0,76151,2,0,65.7,1
 Fiesta,2019,13140,0,5211,2,145,48.7,1.1
 Focus,2019,16600,0,12500,0,145,74.3,1.5
 Fiesta,2019,12990,0,5744,2,145,48.7,1.1
 Fiesta,2016,9295,0,16671,0,0,78.5,1.5
 Focus,2019,19090,0,2480,2,145,60.1,1
 Fiesta,2019,13140,0,5011,2,145,48.7,1.1
 Ka+,2017,6930,0,12555,2,145,57.7,1.2
 Fiesta,2019,15780,0,9803,2,145,60.1,1
 Focus,2019,14890,0,11867,2,145,60.1,1
 Focus,2019,18600,2,10855,0,145,74.3,1.5
 Focus,2019,15660,0,8387,0,145,80.7,1.5
 Focus,2019,15530,0,16778,0,145,74.3,1.5
 EcoSport,2018,12980,1,12803,2,145,48.7,1
 B-MAX,2014,5995,0,46012,2,30,55.4,1
 Fiesta,2014,6295,0,12251,2,30,54.3,1.2
 Focus,2018,13600,0,13144,2,145,58.9,1
 Fiesta,2017,8250,0,31956,2,0,65.7,1
 Focus,2016,16810,0,20841,2,200,41.5,2
 Focus,2019,18000,0,14184,2,145,45.6,1.5
 Focus,2018,13300,0,30098,0,145,80.7,1.5
 Fiesta,2018,11250,0,20186,2,145,56.5,1
 Kuga,2017,16430,0,26993,0,145,54.3,2
 Fiesta,2014,5860,0,64834,2,0,65.7,1
 Ka+,2017,6990,0,7394,2,30,57.7,1.2
 Ka+,2018,7300,0,11534,2,145,57.7,1.2
 Ka+,2018,6870,0,32715,2,145,57.7,1.2
 Ka+,2018,7950,0,13192,2,145,54.3,1.2
 Fiesta,2020,17481,1,1352,2,145,41.5,1
 Fiesta,2017,9420,0,30045,2,0,65.7,1
 Fiesta,2017,7260,0,24986,2,125,54.3,1.2
 Kuga,2018,16311,0,27506,0,145,64.2,1.5
 Focus,2018,13698,0,12502,0,145,74.3,1.5
 Focus,2018,11998,0,20932,0,145,74.3,1.5
 Kuga,2017,16698,0,13170,0,125,60.1,2
 Mondeo,2017,9498,0,74351,0,20,68.9,2
 Kuga,2017,14498,0,18129,0,125,60.1,2
 Kuga,2017,14798,0,38719,0,125,60.1,2
 Fiesta,2018,14490,0,12053,2,145,60.1,1
 Kuga,2017,16990,1,9019,0,145,54.3,2
 Fiesta,2016,6298,0,53005,2,125,54.3,1.2
 Grand Tourneo Connect,2016,13995,0,30000,0,125,61.4,1.5
 Kuga,2018,16700,0,10261,0,145,54.3,1.5
 Focus,2017,12250,0,12548,2,145,61.4,1
 Grand C-MAX,2017,12850,0,8764,0,30,64.2,1.5
 Kuga,2017,18350,2,6985,2,235,38.2,1.5
 Ka+,2017,8250,0,18127,2,145,57.7,1.2
 Fiesta,2016,9000,0,22740,2,0,65.7,1
 Fiesta,2017,9450,0,29926,2,145,65.7,1
 Ka+,2018,8550,0,10681,2,145,57.7,1.2
 Ka+,2018,8650,0,15707,2,145,57.7,1.2
 Fiesta,2019,11170,0,8237,2,145,58.9,1
 Kuga,2015,14750,0,5839,0,145,54.3,2
 Fiesta,2015,6995,0,41385,2,125,54.3,1.2
 Kuga,2013,8995,0,97364,0,200,47.9,2
 Fiesta,2016,8899,0,24828,2,20,62.8,1
 EcoSport,2015,7430,0,55422,2,125,53.3,1
 Ka+,2017,6650,0,16702,2,145,57.7,1.2
 Focus,2013,5750,0,61747,2,20,58.9,1
 S-MAX,2016,15995,0,18541,0,125,56.5,2
 Focus,2013,6995,0,37557,2,30,56.5,1
 Fiesta,2015,7995,0,18209,2,0,65.7,1
 Ka+,2017,7995,0,6815,2,145,57.7,1.2
 Fiesta,2013,6890,0,14602,2,30,54.3,1.2
 Fiesta,2017,7690,0,19189,2,125,54.3,1.2
 Focus,2017,13000,0,22997,2,145,51.4,1.5
 Fiesta,2013,7400,0,17508,2,30,54.3,1.2
 Focus,2018,14120,0,17708,0,145,74.3,1.5
 Fiesta,2017,10187,0,7987,2,145,65.7,1
 Focus,2017,9000,0,44148,0,0,74.3,1.5
 Kuga,2017,15045,0,34912,0,125,60.1,2
 Focus,2017,13750,0,26275,2,145,41.5,2
 Ka+,2018,7600,0,15084,2,145,57.7,1.2
 Fiesta,2017,8180,0,10299,2,145,64.2,1.1
 Focus,2019,17190,0,6744,2,145,60.1,1
 Focus,2019,16770,0,3200,2,145,58.9,1
 Kuga,2015,9000,0,52900,0,125,60.1,2
 Fiesta,2017,10500,0,29533,2,20,62.8,1
 Fiesta,2014,6999,0,40793,2,0,65.7,1
 Fiesta,2017,7999,0,36987,2,145,54.3,1.2
 Fiesta,2014,6650,0,57016,2,0,65.7,1
 Fiesta,2016,9000,0,24806,2,0,65.7,1
 Focus,2015,8000,0,40253,2,20,60.1,1
 Focus,2018,13500,0,10111,2,145,57.7,1
 Kuga,2017,16000,0,8543,0,145,64.2,1.5
 Focus,2016,16250,0,13036,2,200,41.5,2
 B-MAX,2017,12000,0,8589,2,145,57.7,1
 EcoSport,2017,11750,0,14372,2,145,53.3,1
 Mondeo,2018,17365,2,8500,2,145,37.2,1.5
 Fiesta,2018,12465,0,17522,2,145,58.9,1
 Focus,2017,10465,0,16000,2,150,61.4,1
 Focus,2018,13298,0,13905,2,145,57.7,1
 Fiesta,2017,8998,0,9281,2,125,54.3,1.2
 Fiesta,2019,15200,1,9791,2,145,48.7,1
 Kuga,2019,19700,0,1616,0,145,38.2,2
 Kuga,2017,16350,0,24008,0,145,54.3,2
 Fiesta,2018,10300,0,26995,2,145,64.2,1.1
 Kuga,2016,15000,2,16242,2,235,38.2,1.5
 Fiesta,2017,12000,1,25878,2,0,57.7,1
 Fiesta,2018,10900,0,23079,2,145,65.7,1
 Mondeo,2019,19800,0,22,0,145,65.7,2
 C-MAX,2018,14000,1,5044,0,145,58.9,2
 Fiesta,2019,13130,0,2871,2,145,48.7,1.1
 Focus,2019,17520,0,4835,2,145,60.1,1
 Focus,2019,17520,0,151,2,145,60.1,1
 Kuga,2018,16137,0,27331,0,145,64.2,1.5
 Fiesta,2015,6840,0,37110,2,125,54.3,1.2
 Fiesta,2019,16750,0,2053,2,145,60.1,1
 Kuga,2014,10191,0,39222,0,145,53.3,2
 Kuga,2018,20491,2,17152,2,145,31,1.5
 C-MAX,2017,10691,0,10367,0,20,68.9,1.5
 C-MAX,2017,10490,0,6490,2,160,44.1,1.6
 Fiesta,2018,10291,0,14278,2,145,65.7,1
 Fiesta,2018,12191,0,9610,2,145,65.7,1
 Ka+,2018,8500,0,4870,2,145,54.3,1.2
 Focus,2019,17290,0,4987,2,145,60.1,1
 Focus,2016,13480,0,26008,0,20,67.3,2
 EcoSport,2017,8891,0,19123,2,145,44.8,1.5
 Ka+,2017,7190,0,15823,2,145,57.7,1.2
 Ka+,2018,8391,0,12456,2,145,47.9,1.2
 EcoSport,2017,9600,0,31087,2,125,53.3,1
 Focus,2018,12190,0,32340,0,145,74.3,1.5
 Focus,2018,11991,0,24174,0,145,74.3,1.5
 EcoSport,2018,12991,0,17123,2,145,54.3,1
 Fiesta,2017,9530,0,3807,2,145,54.3,1.2
 EcoSport,2015,7590,0,30373,2,160,44.8,1.5
 Ka+,2018,7991,0,7860,2,145,57.7,1.2
 Fiesta,2018,10191,0,12349,2,145,65.7,1
 Kuga,2019,18280,0,4195,0,145,54.3,1.5
 Focus,2014,6991,0,40155,2,20,60.1,1
 Fiesta,2019,13830,0,6484,2,145,60.1,1
 Focus,2019,17520,0,151,2,145,60.1,1
 Focus,2014,6991,0,48460,2,20,58.9,1
 Focus,2018,16460,0,19800,2,145,41.5,2
 Ka+,2017,7440,0,5380,2,145,57.7,1.2
 Edge,2017,18991,0,11841,0,145,48.7,2
 Fiesta,2018,12491,0,6397,2,145,56.5,1
 Fiesta,2013,6520,0,28411,0,0,76.4,1.5
 Focus,2018,11341,0,18256,2,145,61.4,1
 Fiesta,2016,7800,0,14994,2,0,65.7,1
 Focus,2019,16770,0,12942,0,145,74.3,1.5
 EcoSport,2016,8680,0,23919,0,30,64.2,1.5
 Focus,2020,19995,0,403,2,150,60.1,1
 Grand C-MAX,2017,12491,0,21689,0,145,61.4,2
 Fiesta,2015,8291,0,20927,2,0,65.7,1
 Focus,2018,11991,0,20595,0,145,74.3,1.5
 Focus,2014,5700,0,68343,0,20,67.3,1.6
 Fiesta,2016,8291,0,30155,2,0,65.7,1
 Fiesta,2017,10891,1,11417,2,145,54.3,1
 Focus,2018,15771,0,48905,0,145,67.3,2
 Ka+,2017,7643,0,8895,2,30,57.7,1.2
 Fiesta,2017,10503,0,7970,2,145,65.7,1
 Ka+,2018,8343,0,7852,2,145,57.7,1.2
 C-MAX,2017,7491,0,70629,2,30,55.4,1
 Kuga,2017,16598,2,10117,2,235,38.2,1.5
 Focus,2017,10995,0,43578,0,0,74.3,1.5
 Ka+,2018,8995,0,21992,2,145,57.7,1.2
 Fiesta,2018,11995,0,6203,2,145,58.9,1
 Fiesta,2018,12495,0,12135,2,145,65.7,1
 Fiesta,2013,7995,0,45187,2,0,65.7,1
 EcoSport,2018,13990,1,17461,2,145,48.7,1
 Focus,2016,8691,0,46038,0,0,74.3,1.5
 Focus,2016,8997,0,44139,0,0,74.3,1.5
 Fiesta,2019,13130,0,2400,2,145,48.7,1.1
 Fiesta,2019,15910,0,5752,2,145,58.9,1
 Focus,2019,19780,2,9605,0,145,74.3,1.5
 Fiesta,2019,13130,0,2306,2,145,48.7,1.1
 Focus,2019,17200,2,2952,2,145,51.4,1
 C-MAX,2017,11091,0,22813,0,20,68.9,1.5
 Fiesta,2013,6100,0,38141,2,0,65.7,1
 Fiesta,2016,9770,0,18703,2,0,65.7,1
 Focus,2017,12091,0,25250,0,0,74.3,1.5
 Fiesta,2013,7750,0,31933,0,0,78.5,1.6
 Focus,2019,19160,2,3418,0,145,54.3,1.5
 Focus,2019,18791,2,1704,2,145,40.9,1.5
 Puma,2020,20890,0,2548,2,150,50.4,1
 Kuga,2016,15371,2,13179,2,240,38.2,1.5
 Fiesta,2016,8290,0,18500,2,125,54.3,1.2
 C-MAX,2013,6990,0,54178,0,30,62.8,1.6
 Kuga,2018,17890,1,39821,0,145,54.3,2
 Grand C-MAX,2016,11390,2,27571,0,30,58.9,1.5
 Fiesta,2018,10890,0,22451,2,145,56.5,1
 Fiesta,2020,17990,0,494,2,145,53.3,1
 Puma,2020,21990,0,1255,2,145,50.4,1
 Kuga,2019,17998,1,11111,0,145,37.2,2
 Fiesta,2018,10798,0,15051,0,145,55.4,1.5
 Focus,2017,17450,0,15116,2,145,41.5,2
 Fiesta,2015,9750,1,12000,2,145,47.9,1.6
 Fiesta,2017,9695,0,21803,2,145,62.8,1
 Kuga,2017,15495,0,21000,0,125,60.1,2
 Kuga,2017,16998,1,35245,0,150,54.3,2
 Fiesta,2013,4998,0,74512,0,0,76.4,1.5
 Fiesta,2017,8498,0,22864,2,150,64.2,1.1
 Focus,2019,16798,0,13415,2,150,60.1,1
 Fiesta,2016,6298,0,69801,0,0,88.3,1.5
 Focus,2018,12298,0,27494,2,150,60.1,1
 Fiesta,2018,9998,0,12299,2,150,55.4,1.1
 Fiesta,2019,9998,0,20991,2,150,55.4,1.1
 Fiesta,2015,6298,0,60813,2,0,65.7,1
 Fiesta,2014,6995,0,25000,2,30,54.3,1.2
 Focus,2017,12100,0,13579,0,145,74.3,1.5
 Kuga,2019,21995,0,4010,2,145,34.4,1.5
 Ka+,2018,8995,0,16885,2,145,57.7,1.2
 Fiesta,2015,7995,0,59255,0,0,88.3,1.5
 Ka+,2018,8995,0,6757,2,150,57.7,1.2
 KA,2015,5995,0,26333,2,30,57.7,1.2
 EcoSport,2019,15995,0,13474,2,150,51.4,1
 B-MAX,2016,8995,0,19995,2,30,55.4,1
 Fiesta,2016,10790,0,15666,2,20,62.8,1
 Kuga,2019,18990,0,2403,0,145,45.6,1.5
 Kuga,2019,17990,0,7038,2,145,34.4,1.5
 Ka+,2016,7490,0,28020,2,30,57.7,1.2
 Fiesta,2019,16990,0,21322,2,150,40.3,1.5
 C-MAX,2016,13490,1,20240,0,20,67.3,1.5
 Fiesta,2014,6995,0,22325,2,30,54.3,1.2
 EcoSport,2016,10995,1,16430,2,160,44.8,1.5
 Focus,2013,7495,0,38537,0,20,67.3,1.6
 Focus,2014,8495,0,46042,2,20,60.1,1
 Focus,2019,18990,0,8197,2,145,49.6,1
 Fiesta,2015,8390,0,20000,2,0,65.7,1
 Fiesta,2017,8700,0,11000,2,145,54.3,1.2
 Fiesta,2017,10200,0,23278,2,150,65.7,1
 Focus,2016,10000,0,39417,0,0,74.3,1.5
 C-MAX,2016,9300,0,40507,0,20,68.9,1.5
 Ka+,2017,7698,0,9271,2,145,57.7,1.2
 C-MAX,2016,9998,0,24609,0,20,68.9,1.5
 Focus,2018,17500,0,17280,0,145,67.3,2
 Kuga,2016,13488,0,17989,0,125,60.1,2
 Ka+,2017,7695,0,24402,2,145,57.7,1.2
 Kuga,2018,14490,0,54793,0,145,54.3,2
 Ka+,2017,7995,0,9000,2,30,57.7,1.2
 Focus,2016,12495,0,25661,2,125,51.4,1.5
 EcoSport,2017,8998,0,45755,0,150,64.2,1.5
 Kuga,2015,12995,0,35383,0,125,60.1,2
 S-MAX,2016,14995,1,56347,0,150,52.3,2
 Ka+,2017,8495,0,7000,2,150,57.7,1.2
 EcoSport,2018,12995,0,13851,2,150,54.3,1
 Fiesta,2013,5995,0,46028,2,30,54.3,1.2
 Focus,2019,19995,0,1600,2,150,49.6,1
 Focus,2017,10178,0,19325,0,0,74.3,1.5
 Focus,2017,11298,0,26781,2,145,60.1,1
 Fiesta,2019,10498,0,20636,2,150,55.4,1.1
 Kuga,2017,17498,1,28291,0,150,54.3,2
 Focus,2017,9698,0,42148,2,150,60.1,1
 Focus,2017,10498,0,22627,0,150,74.3,1.5
 Fiesta,2018,11498,0,37001,2,150,58.9,1
 Focus,2018,19998,0,16882,2,145,41.5,2
 Fiesta,2016,8998,0,28164,2,0,65.7,1
 Fiesta,2016,6998,0,60964,0,0,88.3,1.5
 Edge,2017,20250,2,33576,0,160,48.7,2
 Focus,2019,17480,0,4213,2,145,60.1,1
 Focus,2019,17480,0,4286,2,145,60.1,1
 Kuga,2017,12950,0,28608,0,145,54.3,2
 Focus,2019,14642,0,4442,2,145,58.9,1
 Focus,2014,6990,0,34001,2,20,58.9,1
 Mustang,2017,27890,1,26452,2,580,23.5,5
 Focus,2015,8662,1,32407,2,165,44.8,1.6
 Fiesta,2017,9851,0,20400,2,150,65.7,1
 Kuga,2014,9690,0,46660,0,125,60.1,2
 Fiesta,2018,12495,0,10561,2,150,56.5,1
 Tourneo Custom,2016,15995,0,49913,0,235,42.2,2.2
 Kuga,2017,15000,0,39148,0,150,64.2,1.5
 Fiesta,2017,8998,0,25221,0,145,85.6,1.5
 Fiesta,2013,6465,0,43500,0,0,76.4,1.5
 Focus,2017,17695,0,7782,2,145,41.5,2
 Fiesta,2014,7495,1,33800,2,150,47.9,1.6
 Fiesta,2014,6498,0,40399,2,30,54.3,1.2
 Grand Tourneo Connect,2017,14698,0,14801,0,30,64.2,1.5
 Focus,2018,12000,0,11457,2,145,60.1,1
 Ka+,2017,7591,0,19647,2,145,57.7,1.2
 Focus,2017,10691,0,18899,2,145,60.1,1
 Focus,2019,16991,0,8735,2,145,60.1,1
 Kuga,2019,18291,0,6831,0,145,54.3,1.5
 Fiesta,2016,9650,0,22083,2,20,62.8,1
 Focus,2019,15791,0,12624,2,145,58.9,1
 Focus,2019,16481,0,11407,0,145,80.7,1.5
 Focus,2018,10491,0,30370,2,145,58.9,1
 Kuga,2017,14810,0,14097,0,145,60.1,2
 KA,2013,4990,0,35000,2,30,57.7,1.2
 Fiesta,2019,13130,0,151,2,145,48.7,1.1
 Fiesta,2019,12490,0,960,2,145,48.7,1.1
 Fiesta,2019,13130,0,151,2,145,48.7,1.1
 Focus,2018,18991,0,20147,2,145,41.5,2
 Grand Tourneo Connect,2019,16930,0,15297,0,145,61.4,1.5
 Fiesta,2014,6191,0,38149,2,30,54.3,1.2
 Focus,2017,12491,2,27000,2,145,46.3,1.5
 EcoSport,2017,9880,0,12773,2,125,52.3,1
 Fiesta,2018,11291,0,25993,2,145,62.8,1
 Fiesta,2018,9491,0,21098,2,145,65.7,1
 Fiesta,2019,16400,0,4001,2,145,60.1,1
 Fiesta,2019,15410,0,1710,2,145,60.1,1
 Focus,2018,13561,0,15071,2,145,57.7,1
 Fiesta,2018,13191,0,11805,2,145,62.8,1
 Ka+,2019,9990,0,3285,2,145,47.9,1.2
 Ka+,2019,9990,0,1953,2,145,47.9,1.2
 Fiesta,2016,9891,0,14038,2,0,65.7,1
 Focus,2013,5470,0,76081,0,20,67.3,1.6
 Focus,2018,10700,0,23738,2,145,60.1,1
 Focus,2019,17280,0,7088,2,145,60.1,1
 Focus,2019,18490,0,11056,2,145,58.9,1
 Focus,2019,18391,0,8636,2,145,58.9,1
 Focus,2019,15340,0,7602,2,145,60.1,1
 Focus,2019,15320,0,9010,2,145,60.1,1
 Fiesta,2018,10191,0,11462,2,145,65.7,1
 Kuga,2019,18390,2,23796,0,145,47.9,2
 Kuga,2019,19800,0,8089,0,145,47.9,2
 Focus,2019,15510,0,4198,2,145,60.1,1
 Mondeo,2019,23590,2,6378,0,145,49.6,2
 Focus,2018,11860,0,23769,0,145,74.3,1.5
 Focus,2018,19427,0,21863,2,145,41.5,2
 Fiesta,2018,11200,0,11741,2,145,65.7,1
 Ka+,2018,7600,0,10693,2,145,57.7,1.2
 Fiesta,2018,11260,0,7891,2,145,65.7,1
 Kuga,2018,17200,0,16786,0,145,60.1,2
 Focus,2017,17337,0,21661,0,145,67.3,2
 Fiesta,2018,13191,1,6072,2,145,48.7,1
 Grand C-MAX,2019,16750,0,15097,0,145,56.5,1.5
 EcoSport,2019,15240,0,8601,2,145,53.3,1
 Fiesta,2018,12927,0,5829,2,145,58.9,1
 Fiesta,2019,12490,0,3327,2,145,48.7,1.1
 Fiesta,2016,6991,0,54039,0,0,88.3,1.5
 Focus,2016,10391,0,33589,0,0,74.3,1.5
 Fiesta,2018,10991,0,5699,2,145,58.9,1
 Focus,2018,18050,0,22727,2,145,41.5,2
 Focus,2019,15860,0,10916,0,145,74.3,1.5
 Kuga,2019,21770,0,14782,0,145,47.9,2
 Focus,2019,15460,0,7170,2,145,60.1,1
 Focus,2019,15300,0,6541,2,145,60.1,1
 Fiesta,2019,12790,0,10147,2,145,58.9,1
 Fiesta,2019,13200,0,6995,2,145,58.9,1
 Fiesta,2019,14140,2,4471,2,145,48.7,1
 Kuga,2017,12520,0,11443,0,145,64.2,1.5
 Fiesta,2017,10410,0,17188,2,145,62.8,1
 Kuga,2017,13490,0,38121,0,150,60.1,2
 Fiesta,2017,9390,0,13200,2,150,65.7,1
 Focus,2018,11680,0,12500,2,150,60.1,1
 Focus,2018,12000,0,11300,2,150,60.1,1
 Kuga,2017,16590,0,6419,2,160,45.6,1.5
 S-MAX,2017,14090,0,50668,0,145,56.5,2
 EcoSport,2018,12847,0,12467,2,145,54.3,1
 Kuga,2017,12191,0,26251,0,145,64.2,1.5
 Fiesta,2019,13060,0,2016,2,145,48.7,1.1
 Focus,2017,10200,0,31586,0,145,74.3,1.5
 Fiesta,2019,15370,0,5001,2,145,60.1,1
 Ka+,2019,9990,0,1581,2,145,47.9,1.2
 Focus,2018,19900,0,9196,2,145,41.5,2
 Fiesta,2015,7691,0,28367,2,0,65.7,1
 Focus,2017,19100,0,7131,2,145,41.5,2
 Fiesta,2016,7691,0,22822,2,125,54.3,1.2
 EcoSport,2018,13091,0,8169,2,145,53.3,1
 Focus,2019,17480,0,1350,2,145,60.1,1
 Fiesta,2019,12490,0,2623,2,145,48.7,1.1
 Focus,2019,17330,0,3523,2,145,60.1,1
 Focus,2019,17480,0,8469,2,145,60.1,1
 Fiesta,2019,12490,0,2583,2,145,48.7,1.1
 Focus,2019,17280,0,5001,2,145,60.1,1
 Focus,2019,17480,0,3284,2,145,60.1,1
 Ka+,2017,7500,0,4549,2,145,57.7,1.2
 Fiesta,2014,6590,0,36886,2,0,65.7,1
 EcoSport,2019,15740,0,5824,2,145,51.4,1
 Focus,2018,10990,0,15302,2,150,60.1,1
 Kuga,2017,16570,1,19876,0,150,54.3,2
 Fiesta,2017,9590,0,19605,2,150,65.7,1
 Fiesta,2018,10731,0,4026,2,145,65.7,1
 Fiesta,2019,14177,0,8043,2,145,58.9,1
 Fiesta,2019,14467,0,4126,2,145,58.9,1
 EcoSport,2019,14791,0,7716,2,145,54.3,1
 Fiesta,2019,13130,0,151,2,145,48.7,1.1
 Focus,2014,5298,0,90391,0,20,67.3,1.6
 Focus,2018,15498,0,35090,0,145,67.3,2
 Fiesta,2017,11498,0,13430,2,20,62.8,1
 EcoSport,2017,10498,0,6245,2,125,53.3,1
 Focus,2017,9998,0,37583,2,150,61.4,1
 B-MAX,2017,9698,0,16981,2,150,55.4,1
 Fiesta,2016,8998,0,27446,2,0,65.7,1
 Fiesta,2017,10698,0,22660,2,150,65.7,1
 Fiesta,2014,6998,0,32677,0,0,76.4,1.5
 KA,2015,4498,0,55346,2,30,57.7,1.2
 C-MAX,2016,8498,0,47835,0,20,68.9,1.5
 EcoSport,2017,10798,0,9361,2,125,53.3,1
 Focus,2015,7798,0,43287,0,0,74.3,1.5
 EcoSport,2017,9998,0,9625,2,125,53.3,1
 Kuga,2019,19498,0,9341,2,145,39.2,1.5
 EcoSport,2017,9998,0,23259,2,145,53.3,1
 Focus,2017,9998,0,34025,2,20,60.1,1
 Kuga,2017,14698,2,3379,2,235,38.2,1.5
 Grand C-MAX,2017,10998,0,12360,0,30,64.2,1.5
 Kuga,2018,16498,0,15645,0,145,64.2,1.5
 EcoSport,2017,9620,0,22431,2,145,53.3,1
 Fiesta,2017,8291,0,24450,2,145,64.2,1.1
 Focus,2019,15530,0,6857,2,145,60.1,1
 Ka+,2018,6991,0,21105,2,145,57.7,1.2
 Focus,2017,11291,0,17904,0,0,74.3,1.5
 C-MAX,2017,9850,0,23701,2,30,55.4,1
 Fiesta,2015,6970,0,21309,2,125,54.3,1.2
 Focus,2017,13350,2,19167,2,145,46.3,1.5
 Focus,2019,15690,0,12998,2,145,60.1,1
 Focus,2016,16442,0,13400,2,200,41.5,2
 Fiesta,2014,5295,0,58680,2,30,54.3,1.2
 Focus,2019,18500,2,3600,2,145,42.8,1
 Fiesta,2013,5995,0,26700,2,30,54.3,1.2
 Fiesta,2015,8499,0,13964,2,0,65.7,1
 Fiesta,2019,10298,0,14422,2,145,55.4,1.1
 Kuga,2017,12898,0,24388,0,150,64.2,1.5
 Fiesta,2017,7798,0,32039,2,125,54.3,1.2
 Fiesta,2017,10498,0,23992,2,20,62.8,1
 Fiesta,2017,8298,0,23091,2,125,54.3,1.2
 Mondeo,2017,11298,0,58827,2,145,48.7,1.5
 Fiesta,2017,9490,0,8062,2,145,65.7,1
 Fiesta,2018,9730,0,7305,2,145,65.7,1
 Puma,2020,20491,0,4998,2,145,50.4,1
 EcoSport,2017,9491,0,27827,0,145,64.2,1.5
 Fiesta,2017,13280,0,8567,2,145,47.9,1.6
 Focus,2019,15290,0,8811,2,145,60.1,1
 Fiesta,2017,10020,0,16247,2,145,65.7,1
 Focus,2020,19991,2,4998,2,145,51.4,1
 Fiesta,2018,8691,0,34064,2,145,64.2,1.1
 Kuga,2016,13930,0,32398,0,145,54.3,2
 Focus,2018,19490,0,9196,0,145,67.3,2
 Kuga,2017,15991,0,20549,0,145,64.2,1.5
 Galaxy,2019,26360,0,2725,0,145,55.4,2
 Fiesta,2019,14400,0,3398,2,145,58.9,1
 Focus,2019,18991,2,2986,2,145,51.4,1
 Fiesta,2017,11617,1,5009,2,145,54.3,1
 Edge,2017,22030,2,18810,0,145,47.9,2
 Fiesta,2019,13140,0,6987,2,145,48.7,1.1
 Fiesta,2016,7430,0,38744,2,0,65.7,1
 Focus,2019,17210,0,6351,2,145,60.1,1
 Focus,2018,17391,0,11977,2,145,41.5,2
 Kuga,2017,15660,2,15962,0,145,54.3,2
 Fiesta,2018,9990,0,33116,2,150,65.7,1
 EcoSport,2017,8690,0,51000,0,145,64.2,1.5
 Fiesta,2017,8755,0,30791,2,145,64.2,1.1
 Fiesta,2018,8995,0,17870,2,145,64.2,1.1
 Fiesta,2018,11389,0,9343,2,145,65.7,1
 Focus,2019,17140,0,7987,2,145,60.1,1
 Focus,2019,17000,0,10998,2,145,60.1,1
 Focus,2019,17290,0,4989,2,145,60.1,1
 Fiesta,2013,6780,0,55243,2,0,65.7,1
 Focus,2017,10491,0,15245,2,20,61.4,1
 Fiesta,2016,10877,0,11104,2,0,65.7,1
 Focus,2018,18891,0,12000,2,145,41.5,2
 Focus,2014,6625,0,31078,2,20,58.9,1
 Fiesta,2016,9600,0,14535,2,0,65.7,1
 Focus,2015,8699,0,48000,0,0,74.3,1.5
 Fiesta,2013,8080,0,32448,2,0,65.7,1
 Focus,2017,11498,0,35491,0,150,74.3,1.5
 B-MAX,2014,6298,0,42125,2,145,47.1,1.4
 Focus,2017,11998,0,20986,2,145,57.7,1
 Fiesta,2017,9998,0,25850,2,20,62.8,1
 Grand C-MAX,2017,12498,0,17813,0,30,64.2,1.5
 Fiesta,2017,8955,0,38000,2,0,65.7,1
 Focus,2016,10955,0,41394,0,0,74.3,1.5
 EcoSport,2016,9495,0,40000,0,30,64.2,1.5
 Fiesta,2018,10750,0,31000,0,150,88.3,1.5
 Fiesta,2018,10000,0,25062,2,145,65.7,1
 Grand C-MAX,2016,10250,1,24512,0,30,58.9,1.5
 Focus,2018,16491,0,13631,2,145,60.1,1
 Kuga,2019,19787,0,2770,2,145,39.2,1.5
 Fiesta,2014,6940,0,27224,0,0,76.4,1.5
 Fiesta,2018,9591,0,18847,2,150,65.7,1
 Ka+,2017,6521,0,42981,2,30,57.7,1.2
 Fiesta,2018,10291,0,9250,2,150,65.7,1
 Fiesta,2017,11531,0,8263,2,0,65.7,1
 Kuga,2017,14790,0,33995,0,125,60.1,2
 Focus,2016,9301,1,67733,0,30,64.2,2
 Focus,2019,15700,0,7989,2,145,60.1,1
 Focus,2015,9491,0,27455,0,0,74.3,1.5
 Focus,2017,11491,0,11045,2,150,60.1,1
 KA,2013,3991,0,30626,2,30,57.7,1.2
 Fiesta,2014,8191,0,23250,2,0,65.7,1
 Fiesta,2018,8991,0,15560,2,150,64.2,1.1
 Focus,2017,11491,0,31397,2,125,51.4,1.5
 Kuga,2016,9681,0,81332,0,125,60.1,2
 Fiesta,2016,9295,0,10476,2,0,65.7,1
 Grand Tourneo Connect,2016,12157,2,45228,0,125,56.6,1.5
 Fiesta,2017,9491,0,16892,2,145,65.7,1
 Fiesta,2017,9950,0,20011,2,20,62.8,1
 B-MAX,2016,8030,0,39674,2,30,56.5,1
 KA,2016,6451,0,6160,2,30,57.7,1.2
 Fiesta,2018,11540,0,12052,2,145,65.7,1
 Fiesta,2013,6740,1,38495,2,150,47.9,1.6
 Fiesta,2018,11180,0,18885,2,150,62.8,1
 Kuga,2018,16010,0,9660,2,150,39.2,1.5
 Fiesta,2017,8570,0,17674,2,145,65.7,1
